signal c1bcc
type 0
comment created using xlabel Tue Aug 29 11:47:10 2000
comment created using xlabel Mon Jul 13 14:02:37 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.238486  -1  H*
    0.420962  -1  L*H
    0.784556  -1  L*H
    1.330905  -1  L*H
    1.748208  -1  0%
signal c1brg
type 0
comment created using xlabel Tue Aug 29 11:45:50 2000
comment created using xlabel Mon Jul 13 14:05:56 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.215699  -1  H*
    0.649757  -1  L*H
    1.233023  -1  L*H
    1.551379  -1  0%
signal f2bcc
type 0
comment created using xlabel Wed Jun  5 15:31:03 2002
comment created using xlabel Tue Jul 28 16:29:14 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    7.648108   -1 %H
    7.959661   -1 L*+H
    8.090790   -1 %
    8.185111   -1 H*
    8.555851   -1 !H*L
    9.165533   -1 L*+H
    9.727040   -1 H%
   10.169073   -1 H*
   10.500110   -1 L*H
   11.647025   -1 L*H
   12.155001   -1 H%
   12.748666   -1 H*L
   12.972337   -1 #
   13.767272   -1 L*H
   13.981700   -1 %
   14.008685   -1 H*L
   14.588832   -1 %
   14.950624   -1 L*H
   15.575884   -1 %
   15.944850   -1 H*L
   16.500741   -1 L*H
   17.090134   -1 %
   17.262262   -1 H*
   17.477692   -1 !H*L
   17.680171   -1 %
   18.149033   -1 L*H
   18.760254   -1 %
   19.087716   -1 L*H
   19.264789   -1 %
   19.686502   -1 H*L
   20.231201   -1 L*H
   20.777292   -1 %
   20.924995   -1 H*
   21.311759   -1 L*
   21.663575   -1 L*H
   21.921710   -1 %
   22.037090   -1 H*
   22.414535   -1 !H*L
   23.083218   -1 L*H
   23.570168   -1 L*H
   23.873056   -1 H%
   25.085911   -1 H*
   25.406552   -1 L*H
   25.835591   -1 %
   25.966747   -1 H*
   26.490721   -1 L*H
   26.942978   -1 H%
   26.997222   -1 %H
   27.150041   -1 L*H
   27.290205   -1 %
   27.504171   -1 L*H
   27.944523   -1 H*L
   28.247411   -1 %
   28.916193   -1 H*L
   29.417122   -1 L*
   30.107952   -1 L*H
   30.556983   -1 %
   30.784310   -1 H*
   31.039821   -1 !H*L
   31.360461   -1 L*H
   31.512463   -1 %
   31.681988   -1 #
   31.912648   -1 H*L
   32.085062   -1 %
   32.283760   -1 H*
   32.656545   -1 !H*
   32.782360   -1 #
   33.690702   -1 H*
   33.839817   -1 !H*L
   34.818384   -1 L*H
   35.443623   -1 L*H
   35.549271   -1 %
   35.914563   -1 %
   36.379612   -1 T*?
   36.533387   -1 %
   36.617264   -1 H*
   37.266271   -1 L*H
   37.647032   -1 L*H
   37.892522   -1 %
   39.200134   -1 L*H
   39.371412   -1 %
   39.906544   -1 L*H
   40.152550   -1 H%
   41.796331   -1 L*H
   42.047850   -1 %
   43.697228   -1 T*?
   43.804405   -1 %
   45.106921   -1 %
   50.658738   -1 %
   51.032160   -1 H*
   51.505131   -1 L*H
   51.628616   -1 H%
   52.072986   -1 #
   52.632163   -1 L*H
   52.979339   -1 %
signal f2brg
type 0
comment created using xlabel Wed Jun  5 14:54:46 2002
comment created using xlabel Wed Jul 29 14:32:38 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.411819   -1 L*H
    0.566603   -1 %
    1.251408   -1 L*H
    1.853302   -1 %
    2.310506   -1 H*
    2.985930   -1 L*H
    3.623830   -1 %
    4.865856   -1 L*H
    5.100378   -1 L*H
    5.273924   -1 %
    5.409947   -1 L*H
    5.569422   -1 %
    6.248406   -1 H*
    6.839402   -1 L*H
    7.069234   -1 L*H
    7.322518   -1 %
    7.477302   -1 H*
    7.885371   -1 !H*L
    8.617080   -1 #
    9.872236   -1 H*L
   10.050472   -1 %
   11.333028   -1 H*L
   11.828354   -1 H*
   12.588603   -1 !H*
   13.024613   -1 L*H
   13.505920   -1 %
   13.706854   -1 H*L
   14.180218   -1 L*H
   14.397507   -1 H*L
   14.818067   -1 L*H
   15.733956   -1 #
   17.168236   -1 L*H
